Blog No., Title, Subtitle, Date, Link, Content
28,Justin Trudeau’s Statement in Parliament on the terrorist attack in New Zealand,"“We must counter this hatred – and together, we will.”","
								March 18, 2019								",https://liberal.ca/justin-trudeaus-statement-in-parliament-on-the-terrorist-attack-in-new-zealand/,"Justin Trudeau’s Statement in Parliament on the terrorist attack in New Zealand									


								March 18, 2019								


										Share									








Today, Justin Trudeau offered condolences in the House of Commons on the terrorist attack in New Zealand.



Check against delivery
Mr. Speaker,
Before we begin, our hearts go out to the people of Utrecht and the Netherlands, who are reeling in the aftermath of a tram shooting. It’s in the early stages, but we do know that there are fatalities, and a number of injuries. Police are looking at it as a possible terrorist incident.
We stand with our Dutch friends as they grapple with the consequences of this violence, and we will be reaching out to our counterparts to offer our unwavering support.
Prime Minister Rutte addressed this House mere months ago, and he spoke of the close ties between our countries. Canada will be there for the Netherlands in the difficult days ahead.
Mr. Speaker, I rise today to express Canada’s deepest condolences to all those grieving in New Zealand.
Just a few days ago, our friend and ally suffered the worst terrorist attack in their history. An attack motivated by Islamophobia. Fifty men, women, and children murdered at prayer. Dozens injured. Gunned down by a monster. A terrorist. A coward.
I spoke with Prime Minister Ardern to express Canada’s deepest sympathy and support, and praised her compassionate leadership in the wake of this tragedy.
Our hearts ache for the mothers and fathers, sisters and brothers, partners and friends who never had the chance to say goodbye to their loved ones. Loved ones killed by a hateful individual who ascribed to a hateful ideology.
Mr. Speaker, Canada is home to over a million Muslims who live and thrive in a free and open, secular democracy. It is our responsibility to maintain this freedom, so that those who choose to practice faith can do so without fear of violence.
To our Muslim friends here in Canada, in New Zealand, and around the world, know that we mourn with you. We feel your pain, and we love you. We will stand by you in the difficult days and weeks to come.
The Qur’an tells us: ‘the true servants of the Most Merciful are those who behave gently and with humility on earth, and whenever the foolish quarrel with them, they reply with words of peace.’
Now, if that idea sounds familiar, perhaps you’ve also heard it in the Gospel of Matthew, which speaks not of revenge and retaliation, but of turning the other cheek. Indeed, if we choose to look for them, the lessons found within our faiths will bind us together, and are more powerful than those things that seek to divide us.
Just two years ago, I stood at a vigil for six innocent men in Ste. Foy, Quebec. Brothers, fathers, and sons who, like the victims of Christchurch, were gunned down during prayer. I mourned with the families, who couldn’t believe that such hatred could touch their community.
Mr. Speaker, the tragedies in Ste. Foy and in Christchurch are ones we’ve seen too many times before. Innocent people are killed. Headlines blare out as nations grapple with chaos and violence. Mass shootings. Faith-based slaughter. Terrorist attacks.
It is shameful, and sadly, the leaders of the world bear some responsibility. Responsibility we can no longer ignore by simply pointing fingers. Because, in this day and age, those that seethe the loudest are given a larger platform than ever before.
Toxic rhetoric has broken into the mainstream. It’s anti-Semitic. Islamophobic. Anti-black. Anti-Indigenous. Misogynistic. Homophobic. The list goes on and on.
This rhetoric is dangerous, hateful, and vile. It lives and festers online, spilling out into the real world with deadly consequences.
We see it here in Canada, in online harassment, anonymous letters, defaced places of worship, acts of violence, and even murder.
When we fail to denounce hatred with total conviction, we empower those people and legitimize their violence.
Mr. Speaker, over the years, we’ve seen an increase in the number of terrorist attacks targeting Muslims all around the world. So, families flee to democracies like Canada, and the United States, and our allies, praying that their new homes will give them safety. Hoping that their kids will know a place where they are not targeted because of faith.
But sadly, Mr. Speaker, these same families who fled violence in their homelands are now too often met by a new kind of violence when they reach new shores. Anti-immigrant hatred. Right-wing extremism. White nationalism. Neo-Nazi terrorism.
These groups are alive in Canada – a nation that, under the leadership of Laurier, and Diefenbaker, and my father, has long championed the protection of minorities, and promoted our diversity as our greatest strength.
And yet, while the majority of our citizens welcome these newcomers with open arms, small, toxic segments peddle the belief that greater diversity is a weakness. The irony is that these fringe groups say they despise Daesh, Al-Qaida, Boko Haram, and others. But they spew hatred, and incite violence, and murder the innocent just the same. They are no better than those they claim to hate.
Mr. Speaker, the problem is not only that politicians routinely fail to denounce this hatred – it’s that, in too many cases, they actively court those who spread it.
To politicians and leaders around the world: the dog whistle politics, the ease with which certain people choose to adopt extremist ideology – it has to stop.
It’s not that people are dying. It’s that people are being killed. Mothers and fathers, ripped from their families. Carefree, innocent children gunned down in the blink of an eye, without an ounce of reticence. Mosques. Temples. Synagogues. Churches. Concerts. Malls. Schools. People murdered while vulnerable and defenseless – here in Canada, south of the border, around the world.
And the response is always the same. We’re aghast as the headlines blare, and moms and dads hug their kids a little tighter, and thank God it’s not happening to them.
Politicians stand around, and we offer our condolences, and we say nice things in the aftermath. We say that we’ll do better. We say that never again will such hatred be allowed to fester unchallenged. And then, when the flames die down, and the smoke clears, we look the other way. We revert back to politicking, figuring out how we can tap into that powerful rage to harness a few more votes. We scapegoat the “other” to play to our base. With a wink and a nudge, we legitimize this evil.
Mr. Speaker, I stand here today to cast a light on this hatred, and on our unwillingness to call it out. As leaders, as privileged few with power and an audience, we have a responsibility to do something. This responsibility is not negotiable. It’s not to be waived when it’s politically convenient.
Courting these views is always the wrong choice to make. We have to chase out this hatred from our parties, fight it online, denounce it at town halls, push back when it reaches our front door. Choosing to stay silent, while hatred stews, is complicity in its most cowardly form.
Mr. Speaker, year after year, decade after decade, we mourn the loss of X number of people, in X country, and we vow to do better. But then we repeat the cycle, as leaders decide that hatred is an emotion worth exploiting, and they ride to power on the back of insatiable anger. As a society, as a global community, as human beings, have we learned nothing?
To be honest, I’m tired of this. I’m tired of passing on our “thoughts and prayers”. But, as tired as I am, I can’t even begin to imagine how it must feel for those who are affected by this kind of violence every single day.
People around the world are exhausted by the carnage. They reach out to console friends and neighbours when these tragedies rock their communities, incensed by their leaders’ inability to take a principled stand. People come out to vigils, and plead for action, and we fall short. Our communities set an example that our leaders consistently fail to follow. After tragedies like these, politicians often say that it’s not a time to talk politics, but that instead we should grieve and support the affected communities.
I think that’s a farce. This is exactly the time to talk politics. Because the best way to support people is to acknowledge that there’s a problem, and take concrete steps to fix it.
Mr. Speaker, we as a global society have a choice to make. Will we call out our leaders, who turn a blind eye to those who incite violence? Will we call out our co-workers, who tell racist or misogynistic jokes, unchallenged? Will we call out the online trolls – those cowards who spew hatred, launching their vitriol behind a shield of anonymity? Ultimately, Mr. Speaker, will we do the right thing? Or will we bury our heads in the sand now, only to bury them in our hands later?
The tragedy in New Zealand is, sadly, another example of just how far we’ve gone astray. But we cannot let the lessons of those 50 deaths go unlearned. The path we’re going down is dangerous and unsustainable. People are tired of fighting this alone, without the backing of their leaders.
But we can take a stand, here and now, in Canada and around the world, to say that enough is enough. That the days of spewing hatred and inciting violence without consequence are over. We owe it to the people of Christchurch. We owe it to the people of Ste. Foy, and Pittsburgh, and Manchester. Mr. Speaker, we owe it to our kids, and we owe it to ourselves.
I’m calling on like-minded countries of the world to stand with Canada in this fight. Muslim, Christian, Jewish, black, white, all of us – we must fight this hatred as a team. A team that refuses to accept this as the new normal. A team tired of sending “thoughts and prayers”.
Here in Canada, we’ve already taken important steps to fight discrimination and hatred. We’ve stepped up our investigations into extreme hate groups, including white supremacist and neo-Nazi groups. We’ve made meaningful reforms around gun control. We increased funding for security at places of worship. And we’re investing in programs that foster inclusion, build bridges, and celebrate our diversity.
And still, we know that there is much more work to do. But make no mistake, we will do what needs to be done. And we will bring this message to the international stage.
To our partners around the world, the fight against racism and intolerance will be a major fight. But we can’t put it off any longer. I know that we can make real change here. We can turn the page, and get off this dangerous path we’re on. We need only look to our communities for inspiration.
Mr. Speaker, there are more good people than bad in this world. The light outweighs the dark, the good greatly outnumbers the evil. We see it when our citizens come together at vigils in the wake of tragedy. We see it when strangers link arms to protect places of worship. We see it in offers to walk with those who feel unsafe. We saw in in Ste. Foy, and we’re seeing it now in New Zealand. This is an important fight.
I’m calling on politicians of all stripes to follow the example set by the good people we serve, and do the right thing. We must counter this hatred. And together, we will.
Thank you, Mr. Speaker."
29,We Made History Together,"Every day, more women are taking on leadership roles in our democracy.","
								March 8, 2019								",https://liberal.ca/we-made-history-together/,"We Made History Together									


								March 8, 2019								


										Share									







I first got involved with the Outremont riding association many years ago to bring forward our vision of a more inclusive, sustainable, and progressive Canada. Soon after, I became National Legal Adviser for the party – and a Team Trudeau candidate in 2015. Now, I’ll be joining the Liberal team in Ottawa to continue on that mission as a new Member of Parliament.
With hope, hard work, and an incredible team of volunteers, we earned the trust of our community and flipped Outremont red for the first time in a decade. We made history together, too – with Liberals electing more women in a single mandate of by-elections than any party ever has before.
Every day, more women are taking on leadership roles in our democracy. During the campaign, I had the opportunity to meet so many inspiring women, some working as innovators at the forefront of their industries, others pushing the boundaries of their fields, bettering their communities, and taking on roles that women didn’t have the opportunity to take on in previous generations.
Hard work pays off in Canada. Dedication makes a difference. And no matter the roadblocks, if you never give up, this country will help you make something of yourself.
That’s the kind of Canada I believe in, and that’s why I am proud to be part of the Liberal team. This team is working hard to empower Canadian women by allowing parents to share parental leave more equally, with a new Parental Sharing Benefit which supports women at home and in the workplace. We’re taking real action to end the gender wage gap, and support the leadership of women in Canada’s economy. And we are investing to create more opportunities for women in STEM fields – where women are changing the game, creating jobs, and building a more innovative future for all of us.
Together, we must continue to push for progress, because when women succeed, everyone benefits.
By supporting the next generation of women leaders, entrepreneurs, and creators, we lift up families, communities and economies – and to keep moving forward with our progress, we definitely need to keep electing more women to Parliament, too.
That’s why the Liberal team supports Liberal women seeking office and their campaigns with the specially-dedicated Judy LaMarsh Fund, with the next election now less than eight months away, we’re counting on you to help invest in it.
Support the Judy LaMarsh Fund by chipping in now and help elect more women to Parliament this fall!
Chip in now











Rachel Bendayan




MP-elect, Outremont"
30,Climate Action Now,There is no issue more important to our future than climate change. Hear our new radio ads and learn more.,"
								March 5, 2019								",https://liberal.ca/climate-action-now/,"Climate Action Now									


								March 5, 2019								


										Share									











There is no issue more important to our future than climate change.
That’s why this week I took the stage at our first rally of 2019 – our Climate Action Rally in Toronto – to speak with Canadians about our strong plan to protect a clean environment while growing our economy.
While Andrew Scheer has no plan at all, our plan is supported by leading scientists and economists across Canada. It makes polluters pay and gives the money back to people – and in Ontario for example, where we hosted this week’s rally, that means over three hundred dollars this year to the average family of four.
Across Canada, our children and grandchildren are counting on us to take action now. And that’s exactly what we’re doing.
Pollution is no longer free, we’re taking real action to protect Canada’s environment and coasts, and Canadians have created nearly 900,000 new jobs since 2015.
We’ve made incredible progress together, and our plan is working for Canadians – but there’s much more hard work ahead of us than behind us.
We’re in this together. Add your name now to show your support for real action to fight climate change:
Add your name












Justin Trudeau




Leader, Liberal Party of Canada








P.S. We just launched our first national radio ads of 2019 to support our plan to fight climate change, and we know that the Conservatives want to go back to the Harper years when pollution was free. I’m counting on you to ensure our positive message reaches as many Canadians as possible this month, so please chip in today.






Manitoba











New Brunswick











Ontario











Saskatchewan











Canada-Wide"
31,Black History Month 2019,"We’re celebrating the tremendous contributions made by many of the extraordinary leaders, advocates, and innovators who have helped build a better, more equal, and more inclusive future for Canada.",nan,https://liberal.ca/black-history-month-2019-blog/,nan
32,Spend your summer with LPC,Applications for the 2019 Liberal Internship Program are now open!,"
								January 14, 2019								",https://liberal.ca/spend-your-summer-with-lpc-2019/,"Spend your summer with LPC									


								January 14, 2019								


										Share									







Are you a young Canadian with a love of politics? Are you passionate about serving your community, engaging with volunteers, and talking with Canadians about the issues that matter most? The Liberal Party of Canada is looking for hardworking young leaders to join Justin Trudeau’s team this summer, to help us continue to grow Canada’s Liberal movement from coast to coast to coast.
Here is why you should choose the Liberal Party of Canada for your internship:





      Gain valuable career experience





         Bring fresh and innovative ideas





        Learn the foundations of organizing and campaigning





         Grow Canada’s Liberal movement from coast to coast to coast




While every individual’s tasks and projects will be different, selected Liberal interns may work in areas including:

Communications and Media Relations
National Field – Campaigns
Social Media
Email Marketing
Graphic and Web Design
Local Field and Outreach
Riding Services
Party Operations
Finance and Accounting
Fundraising


This is a full-time, paid internship. Application Deadline is at 11:59pm PST on February 8, 2019.


Read more"
33,2018 Year in Review,Here are some of our top moments and achievements in 2018.,nan,https://liberal.ca/2018-year-in-review-blog/,nan
34,For everything that you do,A message from Justin Trudeau.,"
								December 14, 2018								",https://liberal.ca/for-everything-that-you-do/,"For everything that you do									


								December 14, 2018								


										Share									








The holiday season is both a time of reflection and a chance to look forward, and I’m so grateful for the real progress that you’ve made possible this year with your dedication and support.
Canadians have now created more than 800,000 new jobs since November 2015, and unemployment is at a 40-year low. This year, we successfully negotiated a new NAFTA – and got a good deal for Canada so Canadians can continue to count on well-paying jobs, and businesses can continue to expand and thrive.
The Canada Child Benefit will now provide even more support for Canadian families to help with the high costs of raising kids. Taxes are now lower for the middle class and small businesses, and the typical Canadian family of four will be $2,000 better off.
Meanwhile, we’re moving forward with an effective plan to protect a clean environment for future generations while growing our economy.
When it comes to ensuring that all Canadians can count on a real and fair chance at success, there’s still much more hard work ahead of us than behind us – but it’s clear that your hope and hard work is adding up to some pretty incredible results.
For that – and for everything you do to support real change – I want to thank you.
And we have an important date coming up. As you know, 2019 is an election year – and Canadians are counting on us to continue delivering on our vision of a better, stronger, more inclusive Canada.
Just 14 days into December, we know that the Conservatives are fundraising hard and gearing up to roll back the real progress we’ve been making for Canadians. By working together like we did in 2015, and like we always do, we won’t let that happen.
Please chip in now to support the Liberal team as we continue to push for real progress – and help us unwrap a strong start to 2019.


Give $5 ➜ 


Give $25 ➜ 


Give $50 ➜ 


Give $100 ➜ 


Or give another amount  ➜


Thank you for your support – wishing you a very Merry Christmas, wonderful holiday season, and happy New Year.
Sincerely,











Justin Trudeau




Leader, Liberal Party of Canada"
35,What They’re Saying: Fall Economic Statement,"Since 2015, Canadians have created more than half a million new full time jobs, unemployment is at a 40-year low, wages are up and taxes are lower for the middle class.","
								November 22, 2018								",https://liberal.ca/what-theyre-saying-fall-economic-statement/,"What They’re Saying: Fall Economic Statement									


								November 22, 2018								


										Share									








The Liberal government is focused on delivering real change for our middle class, investing in Canadians and making sure that everyone has a real and fair chance to succeed. With yesterday’s Fall Economic Statement, delivered by Bill Morneau, it’s clear that our plan to grow the economy is getting results.
More than half a million new full time jobs. Unemployment at a 40-year low. Increased wages. Lower taxes for the middle class and small businesses. Making Canada the most globally connected economy in the world. More support for strong and independent Canadian journalism, and a new Social Finance Fund.
We know there’s still much more work to do, and the Liberal government is continuing to build on the promises made in 2015 to strengthen the middle class and grow the economy.
But don’t just take our word for it – here’s what they’re saying:

  “By taking concrete action now to make Canada a more attractive place to invest and do business, the government can set the stage for stronger growth, higher middle-class incomes and a better future for Canadians of all ages, abilities and backgrounds. Economic growth drives the tax revenues that are required to pay for health care, hospitals, schools and other services that are essential to a healthy and productive society.”
Goldy HyderPresident and CEO, Business Council of Canada[Source]


  “The creation of a Social Finance Fund is an important first step towards a social innovation and social finance strategy for Canada that will accelerate innovative solutions to our most complex social challenges.  We welcome the government’s commitment to strengthening social investment and readiness.”
Michael ToyeExecutive Director, Canadian Community Economic Development Network


  “The new labour tax credit for local journalism is what’s been needed to help save local news.”
Jerry DiasNational President, UNIFOR[Source]


  “This fiscal update shows that the Federal Government is taking the right steps to increase the competitiveness and efficiency of Canada’s agricultural sector…It is very heartening to see the government is listening to farmers and, more importantly, acting on what they hear.”
Ron BonnettPresident, Canadian Federation of Agriculture[Source]


  “Democracy needs reporters working their beats to produce original news, so tax measures to relieve labour costs are critical in today’s disrupted news environment, And allowing philanthropy to fund non-profit news organizations introduces an important new source of financing for quality journalism.”
Edward GreensponPresident and CEO, Public Policy Forum


Pleased to see the value of global education reflected in the federal Economic Statement, as well as new investments in @MitacsCanada #CdnSkillsAndTalent #GlobalEdCan #HandsOnLearning @Bill_Morneau @HonAhmedHussen @PattyHajdu
— Universities Canada (@univcan) November 21, 2018


  “Faster write-offs for new investment, regulatory reform and concrete actions to accelerate the removal of barriers to trade within Canada are all important steps in the right direction, and we applaud the government’s initiatives in these areas.”
Perrin BeattyPresident and CEO, Canadian Chamber of Commerce[Source]


  “The Fall Economic Statement sends a positive signal to Canadian steel producers and their workers. Thank you to the Government of Canada  for your continuous support of our sector.”
Steel Producers[Source]


  “The outcome of this was a true industry and government partnership recognizing that reducing regulatory barriers benefits both businesses and consumers by promoting investment, lowering the price of consumer goods and creating more opportunities for middle-class Canadians.”
Ralph SuppaPresident and General Manager, Canadian Institute of Plumbing and Heating[Source]"
36,What They’re Saying: Putting a Price on Pollution,"Canadians know pollution isn’t free. That’s why Justin Trudeau and the Liberal team have a real plan to protect a clean environment while growing our economy, and it’s working.","
								October 26, 2018								",https://liberal.ca/what-theyre-saying-putting-a-price-on-pollution/,"What They’re Saying: Putting a Price on Pollution									


								October 26, 2018								


										Share									







Canadians know pollution isn’t free. That’s why Justin Trudeau and the Liberal team have a real plan to protect a clean environment while growing our economy, and it’s working.
Our emissions are going down, and good middle class jobs are being created for Canadians. While Andrew Scheer’s Conservatives have no plan, experts agree that a price on pollution is one of the best tools we have to fight climate change and grow the economy.
But don’t just take our word for it – here’s what they’re saying:

  “Pollution isn’t free. Pricing pollution will make our air cleaner, creating healthier communities while ensuring equity for all Canadians.”
Isabelle TurcotteFederal Policy Director, Pembina Institute[Source]


  “Economists for a long time have been pointing to carbon taxes, or carbon pricing, as the most efficient or most cost-effective way to reduce greenhouse gas emissions.”
Trevor TombeAssociate professor of economics, University of Calgary[Source]


  “This is good news for human health and the planet. […] This is how we protect people from the harmful impacts of heatwaves, droughts, wildfires, hurricanes and floods that are becoming more frequent and more intense because of climate change.”
Dr. Courtney HowardPresident, Canadian Association of Physicians for the Environment[Source]


  “This move makes it clear that no one gets to sit out the fight against climate change. Putting a price on pollution is a positive step towards creating green jobs in the new clean energy economy.”
Keith StewartSenior Energy Strategist, Greenpeace Canada[Source]


First time we have a federal government willing to do that, congrats! ⁦@JustinTrudeau⁩ promises rebates as Ottawa moves to levy carbon tax on provinces outside the climate planhttps://t.co/7zS5kZB2hj pic.twitter.com/7FkjyuPtxH
— steven guilbeault (@s_guilbeault) October 23, 2018


  “Carbon pricing is a smart climate solution that encourages everyone to find ways to be more efficient and to invest in cleaner and safer energy choices. The federal rebate on carbon pricing is a much-needed and timely decision.”
Ian BruceDirector of Science and Policy, David Suzuki Foundation[Source]


Putting a price on pollution works. It cuts pollution and spurs innovation in our economy. We have seen this in B.C., Quebec and many other jurisdictions in North America and around the world, so it’s an important addition to the federal government’s policy toolkit. 1/ #cdnpoli https://t.co/1kR4eoRHX9
— Merran Smith (@merransmith) October 23, 2018


  “Carbon pricing continues to be the most cost-effective option for achieving emissions reductions across the country.”
Tracy SnoddenPolicy Analyst, C.D. Howe[Source]


  “We know that people and firms respond to incentives. So this is going to work at reducing emissions.”
Jennifer WinterDirector of Energy and Environmental Policy, School of Public Policy, University of Calgary[Source]


We applaud #Canada, @JustinTrudeau, @cathmckenna for their #leadership in  “putting a price on pollution”. https://t.co/6yUY4EgJ13
— Pure Earth (@PureEarthNow) October 23, 2018"
37,What They’re Saying: USMCA,"The United-States-Mexico-Canada Agreement (USMCA) is a deal that benefits Canadian workers, businesses, families and our middle class. But don\'t just take our word for it - here\'s what they\'re saying.","
								October 4, 2018								",https://liberal.ca/what-theyre-saying-usmca/,"What They’re Saying: USMCA									


								October 4, 2018								


										Share									








After months of negotiations and hard work, Canada reached an agreement-in-principle with the United States and Mexico on a modernized North American Free Trade Agreement – which will now be called the United States-Mexico-Canada Agreement (USMCA). It’s a deal that benefits Canadian workers, businesses, families and our middle class.
But don’t just take our word for it – here’s what they’re saying:

  “Small businesses need stability in international trade so they can plan for growth and the future. CFIB is particularly pleased that the new agreement includes a dedicated small business chapter.”
Dan KellyCFIB[Source]


  “The Canada-U.S. bilateral trade relationship is the most successful in modern commerce […] the USMCA provide[s] confidence to both investors and to companies making important decisions on how and where to expand.”
Darryl WhiteBMO Financial Group[Source]


  “There are some incredible victories in this deal; things we’ve been arguing and fighting for, for the last 24 years.”
Jerry DiasUnifor[Source]


  “In international trade deals, the introduction of a cultural exemption is essential to preserve Canada’s cultural sovereignty. But the renegotiation of NAFTA made us fear the worst. Today, the ADISQ congratulates the Canadian government for standing firm on this issue.”
Association québécoise de l’industrie du disque (ADISQ)[Translation, Source]


  “I think it’s a step up and it brings attention to Indigenous Peoples in this new agreement, attention that wasn’t there in the NAFTA agreement.”
Kenneth DeerHaudenosaunee Confederacy[Source]


  “Telefilm Canada is pleased to learn that the new United States-Mexico-Canada Agreement (USMCA) will maintain the cultural exemption clause, which ensures that our cultural products will continue to reflect our national identity in all its diversity—including our two official languages and Indigenous communities.”
Christa DickensonTelefilm Canada[Translation, Source]


  “Today, labour standards will finally be standardized across North America which will protect workers, protect gender equality, and entrench collective bargaining within this agreement.”
Joseph MancinelliLiUNA[Source]


  “This is a historic agreement that serves the interests of grain farmers from coast to coast.”
Jeff NielsenGrain Growers of Canada[Source]


  “We believe the USMCA deal works in the best interest of all Canadians including the millions of Canadians whose livelihoods depend on a modern legal framework for copyright protection.”
Margaret McGuffinCanadian Music Publishers Association[Source]


  “[The USMCA] is good news for cultural sovereignty.”
Stéphanie HénaultCEO of the Société des auteurs de radio, télévision et cinéma (SARTEC)[Translation, Source]


  “The Chamber congratulates Minister Freeland and Canada’s negotiating team for delivering an agreement that remains trilateral and that will continue to deliver prosperity for Canada.”
Canadian Chamber of Commerce[Source]


  “The Canadian negotiating team is to be commended on reaching a modernized agreement which provides certainty and builds a strengthened platform for trade across the industry.”
The Canadian Vehicle Manufacturers’ Association (CVMA)[Source]


  “The provisions addressing Indigenous Peoples in the USMCA make it the most inclusive international trade agreement for Indigenous peoples to date.”
Perry BellegardeNational Chief, Assembly of First Nations[Source]


Congratulations to Canada’s superb team of negotiators. Once again, patience and perseverance have paid off. https://t.co/OdOxsou0Wo
— The Business Council (@BizCouncilofCan) October 1, 2018


  “This agreement is a highly significant achievement for Canada, while benefiting all three countries as it should.”
Brian MulroneyFormer Prime Minister of Canada[Source]


As the details about USMCA begin to dribble out, Canada’s negotiating team  looks better and better.  Not only did they get the big picture right, they hung tough on many critical issues. The big give was on copyright and patents, but the US pushed hard on this even under Obama.
— Janice Stein (@SteinJanice) October 1, 2018


  “Today is a great day for Canadian creators. SOCAN would like to thank the Canadian government for its efforts to defend the interests of the Canadian cultural sector and to provide greater protection for our creators.”
Eric BaptisteSociety of Composers, Authors and Music Publishers of Canada (SOCAN)[Source]


From the beginning, Justin Trudeau, Chrystia Freeland, and the Liberal team have been clear that we will always stand up for Canadian jobs and defend Canadian interests.
Add your name to support the Liberal government’s work to secure a good deal for Canada.
Show your support"
38,Liberals announce National Platform Committee Co-Chairs for 2019,Justin Trudeau and the Liberal Party of Canada announced today that the Hon. Ralph Goodale and Mona Fortier will serve as Co-Chairs of the party’s National Platform Committee in advance of the 2019 federal election campaign.,"
								September 19, 2018								",https://liberal.ca/liberals-announce-national-platform-committee-co-chairs-for-2019/,"Liberals announce National Platform Committee Co-Chairs for 2019									


								September 19, 2018								


										Share									







Ottawa, ON – Justin Trudeau and the Liberal Party of Canada announced today that the Hon. Ralph Goodale, Member of Parliament for Regina—Wascana, and Mona Fortier, Member of Parliament for Ottawa—Vanier, will serve as Co-Chairs of the party’s National Platform Committee in advance of the 2019 federal election campaign.
“Hearing ideas from Canadians directly has always been at the heart of our work together to keep the economy strong, create good new jobs, and make sure that everyone has a real and fair chance at success,” said Justin Trudeau, Leader of the Liberal Party of Canada. “Ralph and Mona’s experience and leadership will help us engage even more Canadians in shaping our positive plan to create more opportunity for the middle class and everyone working hard to join it.”
Fortier and Goodale will begin discussions and consultations with business, labour, environmental, Indigenous, and community leaders across Canada, in addition to continuing to hear new ideas from grassroots Liberals, the Liberal caucus, and Canadians directly.
These new conversations will build on the Liberal Party of Canada’s work to build the most open, inclusive, and engaging movement in Canadian politics – with nearly 6,000 Canadians having already participated in national online policy voting ahead of April’s 2018 Liberal National Convention in Halifax. Liberal volunteers also recently started hundreds of thousands of new conversations with Canadians as part of 579 Summer of Action events across Canada in July and August.
Mona Fortier has served as the Member of Parliament for Ottawa-Vanier since April 2017, and has extensive previous experience and expertise in the areas of health care, education, job creation and francophone affairs. The Hon. Ralph Goodale was first elected to Parliament in 1974. He is currently the Member of Parliament for Regina—Wascana and Canada’s Minister of Public Safety and Emergency Preparedness. In 2015, he served as Co-Chair of the National Liberal Platform Committee. Previously, he has also served as Canada’s Minister of Finance, Minister of Public Works, Minister Natural Resources, Minister of Agriculture and Agri-Food, and Leader of the Government in the House of Commons.
– 30 –
BACKGROUND: Biographies of the National Platform Committee Co-Chairs can be viewed here."
39,LPC Pride 2018 Highlights,"From coast to coast to coast, Liberal MPs, supporters, and volunteers gathered to show their support for the LGBTQ2 community this summer - here are some of the highlights.","
								September 7, 2018								",https://liberal.ca/lpc-pride-2018-highlights/,"LPC Pride 2018 Highlights									


								September 7, 2018								


										Share									








It’s been a summer full of Pride! Justin Trudeau and the Liberal team are working hard to ensure every Canadian has a real and fair chance at success, including standing with LGBTQ2 Canadians in support of human rights and equality. We’ve made inspiring progress together so far to continue building a Canada that is inclusive for everyone, regardless of who you love – and there’s much more to do.
From coast to coast to coast, Liberal MPs, supporters, and volunteers gathered to show their support for the LGBTQ2 community this summer – here are some of the highlights:


June 20





On the Hill this afternoon, standing together against discrimination – and standing together in celebration of #PrideMonth. pic.twitter.com/jjnevz30Pv
— Justin Trudeau (@JustinTrudeau) June 21, 2018
 




Great to see the #Pride Flag on raised on Parliament Hill! Looking forward to seeing @JustinTrudeau and the @liberal_party team march in Pride parades across the country this summer. pic.twitter.com/A3WWVhr2bA
— Scott Brison (@scottbrison) June 20, 2018
 





June 9




















 

June 10













Happy #Pride, Owen Sound! Hats off to the organizers for such a fantastic event this weekend – the city’s first ever pride parade! #LoveIsLove @_BryanMay https://t.co/uMpAqquVXo
— Liberal Party (@liberal_party) June 11, 2018
 





Just got off the phone with Prime Minister @JustinTrudeau – thank you so much for calling to talk about Owen Sound’s first pride parade! It was an honour to discuss the importance of LGBTQ+ initiatives and the way our community came together.  ️‍ 
— Ryan Brown (@RyanBrownBWDSB) June 13, 2018
 





June 24






















July 8
















 








 

July 15


















 



 

July 21
























 

August 5











It's a great day to be in Vancouver. Happy 40th #Pride everyone!!! pic.twitter.com/tEMKrx0v1f
— Hon. Dr. Hedy Fry (@HedyFry) August 5, 2018
 
















August 12
























 

August 19








Bonne Fierté Montréal! #fiertéMTL  ️‍  Happy Pride Montreal! #prideMTL pic.twitter.com/VlYrfU7rah
— Justin Trudeau (@JustinTrudeau) August 19, 2018
 











 









 










 View this post on Instagram



















 Today happened. Proud to be a Canadian and grateful for the freedom to walk with pride, safely. Thanks @sophiegregoiretrudeau, @justinpjtrudeau and @liberalca.  ️‍ 
A post shared by  Antoni Porowski (@antoni) on Aug 19, 2018 at 3:45pm PDT


 





August 26




















 



 

September 3"
